name,brand,category,abv,volume_ml,origin,avg_price,tasting_notes,source,verified
참이슬 후레쉬,하이트진로,soju,16.5,360,한국,4500,,csv,true
참이슬 오리지널,하이트진로,soju,20.1,360,한국,4500,,csv,true
진로 이즈 백,하이트진로,soju,16.5,360,한국,4500,,csv,true
처음처럼,롯데칠성,soju,16.5,360,한국,4500,,csv,true
처음처럼 새로,롯데칠성,soju,16.0,360,한국,4500,,csv,true
새로,롯데칠성,soju,16.0,360,한국,4500,,csv,true
좋은데이,무학,soju,16.5,360,한국,4500,,csv,true
잎새주,무학,soju,16.5,360,한국,4200,,csv,true
한라산 소주,한라산,soju,17.5,360,한국,4500,,csv,true
대선 소주,대선주조,soju,16.5,360,한국,4200,,csv,true
시원소주,보해양조,soju,16.5,360,한국,4200,,csv,true
원소주,원스피리츠,soju,22.0,375,한국,14900,,csv,true
원소주 스피릿,원스피리츠,soju,34.0,375,한국,17900,,csv,true
참이슬 자몽,하이트진로,soju,13.0,360,한국,4500,,csv,true
참이슬 청포도,하이트진로,soju,13.0,360,한국,4500,,csv,true
참이슬 자두,하이트진로,soju,13.0,360,한국,4500,,csv,true
처음처럼 순하리 자몽,롯데칠성,soju,12.0,360,한국,4500,,csv,true
처음처럼 순하리 청포도,롯데칠성,soju,12.0,360,한국,4500,,csv,true
처음처럼 순하리 딸기,롯데칠성,soju,12.0,360,한국,4500,,csv,true
진로 자몽에이슬,하이트진로,soju,13.0,360,한국,4500,,csv,true
진로 자두에이슬,하이트진로,soju,13.0,360,한국,4500,,csv,true
카스 프레시,오비맥주,beer,4.5,355,한국,2500,,csv,true
카스 프레시,오비맥주,beer,4.5,500,한국,3500,,csv,true
카스 라이트,오비맥주,beer,4.0,355,한국,2500,,csv,true
테라,하이트진로,beer,4.6,355,한국,2500,,csv,true
테라,하이트진로,beer,4.6,500,한국,3500,,csv,true
켈리,하이트진로,beer,4.5,355,한국,2500,,csv,true
켈리,하이트진로,beer,4.5,500,한국,3500,,csv,true
하이트 엑스트라콜드,하이트진로,beer,4.5,355,한국,2500,,csv,true
필라이트,하이트진로,beer,4.5,355,한국,1200,,csv,true
필굿,롯데칠성,beer,4.5,355,한국,1200,,csv,true
클라우드,롯데칠성,beer,5.0,355,한국,2500,,csv,true
클라우드 생 드래프트,롯데칠성,beer,5.0,355,한국,2500,,csv,true
한맥,오비맥주,beer,4.6,355,한국,2500,,csv,true
OB 라거,오비맥주,beer,4.6,355,한국,2500,,csv,true
하이네켄,하이네켄,beer,5.0,355,네덜란드,3000,,csv,true
하이네켄,하이네켄,beer,5.0,500,네덜란드,4000,,csv,true
칭따오,칭따오,beer,4.7,330,중국,2500,,csv,true
아사히 수퍼드라이,아사히,beer,5.0,350,일본,3000,,csv,true
