name,brand,category,abv,volume_ml,origin,avg_price,tasting_notes,source,verified
# 스카치 — 프리셋에 없는 추가분
달모어 12,달모어,whiskey,40,700,스코틀랜드,90000,하이랜드 싱글몰트,csv,true
달모어 15,달모어,whiskey,40,700,스코틀랜드,180000,하이랜드,csv,true
달모어 18,달모어,whiskey,43,700,스코틀랜드,350000,,csv,true
탈리스커 10,탈리스커,whiskey,45.8,700,스코틀랜드,90000,아일랜드 오브 스카이,csv,true
탈리스커 스톰,탈리스커,whiskey,45.8,700,스코틀랜드,75000,,csv,true
크래건모어 12,크래건모어,whiskey,40,700,스코틀랜드,80000,스페이사이드,csv,true
로즈뱅크 12,로즈뱅크,whiskey,43,700,스코틀랜드,250000,로우랜드,csv,true
스프링뱅크 10,스프링뱅크,whiskey,46,700,스코틀랜드,150000,캠벨타운,csv,true
스프링뱅크 15,스프링뱅크,whiskey,46,700,스코틀랜드,280000,캠벨타운,csv,true
벤로막 10,벤로막,whiskey,43,700,스코틀랜드,80000,스페이사이드,csv,true
벤리아크 10,벤리아크,whiskey,43,700,스코틀랜드,70000,스페이사이드 쓰리캐스크,csv,true
벤리아크 12,벤리아크,whiskey,46,700,스코틀랜드,100000,셰리 캐스크,csv,true
글렌드로낙 12,글렌드로낙,whiskey,43,700,스코틀랜드,100000,하이랜드 셰리,csv,true
글렌드로낙 15,글렌드로낙,whiskey,46,700,스코틀랜드,170000,,csv,true
글렌드로낙 18,글렌드로낙,whiskey,46,700,스코틀랜드,280000,,csv,true
글렌파클라스 12,글렌파클라스,whiskey,43,700,스코틀랜드,75000,스페이사이드 셰리,csv,true
글렌파클라스 15,글렌파클라스,whiskey,46,700,스코틀랜드,110000,,csv,true
글렌파클라스 21,글렌파클라스,whiskey,43,700,스코틀랜드,280000,,csv,true
글렌파클라스 25,글렌파클라스,whiskey,43,700,스코틀랜드,450000,,csv,true
글렌알라키 12,글렌알라키,whiskey,46,700,스코틀랜드,80000,스페이사이드,csv,true
에드라다워 10,에드라다워,whiskey,40,700,스코틀랜드,85000,하이랜드,csv,true
녹안두 12,녹안두,whiskey,43,700,스코틀랜드,70000,하이랜드,csv,true
글렌킨치 12,글렌킨치,whiskey,43,700,스코틀랜드,80000,로우랜드,csv,true
로얄 록나가 12,로얄 록나가,whiskey,40,700,스코틀랜드,95000,하이랜드,csv,true
번하반 12,번하반,whiskey,46.3,700,스코틀랜드,90000,아일라,csv,true
킬호만 마키르 베이,킬호만,whiskey,46,700,스코틀랜드,100000,아일라,csv,true
카리라 12,카리라,whiskey,43,700,스코틀랜드,110000,아일라,csv,true
브루이클라디 더 클래식 라디,브루이클라디,whiskey,50,700,스코틀랜드,90000,아일라 언피티드,csv,true
브루이클라디 포트 샬롯,브루이클라디,whiskey,50,700,스코틀랜드,100000,아일라 피티드,csv,true
옥토모어 14.1,브루이클라디,whiskey,57.7,700,스코틀랜드,250000,아일라 헤비피트,csv,true
아란 10,아란,whiskey,46,700,스코틀랜드,80000,아일랜드 오브 아란,csv,true
조니워커 하이 라이,Johnnie Walker,whiskey,40,700,스코틀랜드,45000,블렌디드,csv,true
듀어스 12,듀어스,whiskey,40,700,스코틀랜드,35000,블렌디드,csv,true
페이머스 그라우스,페이머스 그라우스,whiskey,40,700,스코틀랜드,30000,블렌디드,csv,true
커티 삭,커티 삭,whiskey,40,700,스코틀랜드,28000,블렌디드,csv,true
그란츠 트리플 우드,그란츠,whiskey,40,700,스코틀랜드,30000,블렌디드,csv,true
몽키 숄더,몽키 숄더,whiskey,40,700,스코틀랜드,55000,블렌디드 몰트,csv,true
네이키드 그라우스,페이머스 그라우스,whiskey,40,700,스코틀랜드,60000,블렌디드 몰트,csv,true
# 미국 버번/라이 — 추가
엘리야 크레이그 스몰배치,엘리야 크레이그,whiskey,47,700,미국,70000,버번,csv,true
포로지스 싱글배럴,포로지스,whiskey,50,700,미국,80000,버번,csv,true
노브 크릭 9년,노브 크릭,whiskey,50,700,미국,55000,버번,csv,true
앤젤스 엔비,앤젤스 엔비,whiskey,43.3,700,미국,50000,버번,csv,true
블랜턴스 오리지널,블랜턴스,whiskey,46.5,700,미국,130000,싱글배럴 버번,csv,true
불렛 라이,불렛,whiskey,45,700,미국,60000,라이 위스키,csv,true
리튼하우스 라이 보틀드 인 본드,리튼하우스,whiskey,50,700,미국,60000,라이 위스키,csv,true
사제락 라이,사제락,whiskey,45,700,미국,45000,라이 위스키,csv,true
우드포드 리저브 더블 오크,우드포드 리저브,whiskey,43.2,700,미국,100000,버번,csv,true
잭다니엘 애플,잭다니엘,whiskey,35,700,미국,35000,플레이버드,csv,true
잭다니엘 파이어,잭다니엘,whiskey,35,700,미국,35000,시나몬,csv,true
# 아일랜드 — 추가
부시밀스 10,부시밀스,whiskey,40,700,아일랜드,55000,싱글몰트,csv,true
부시밀스 16,부시밀스,whiskey,40,700,아일랜드,130000,싱글몰트 쓰리우드,csv,true
부시밀스 블랙부시,부시밀스,whiskey,40,700,아일랜드,40000,블렌디드,csv,true
파워스 골드 라벨,파워스,whiskey,43.2,700,아일랜드,40000,,csv,true
그린 스팟,그린 스팟,whiskey,40,700,아일랜드,75000,싱글 팟 스틸,csv,true
옐로우 스팟 12,옐로우 스팟,whiskey,46,700,아일랜드,130000,싱글 팟 스틸,csv,true
# 일본 — 추가
하쿠슈 디스틸러스 리저브,산토리,whiskey,43,700,일본,150000,,csv,true
야마자키 디스틸러스 리저브,산토리,whiskey,43,700,일본,150000,,csv,true
