name,brand,category,abv,volume_ml,origin,avg_price,tasting_notes,source,verified
"바이 라피에르, 크레망 드 부르고뉴 샤도네이",바이 라피에르 Bailly Lapierre,wine,,750,프랑스,,스파클링 · 부르고뉴 · 90점,wine21,true
"미셸 띠소, 크레망 뒤 쥐라 브뤼",미셸 띠소 앤 피스 Michel Tissot & Fils,wine,,750,프랑스,,스파클링 · 쥐라,wine21,true
"모알라, 크레망 드 부르고뉴 브뤼",모알라 Moillard,wine,,750,프랑스,,스파클링 · 부르고뉴,wine21,true
"도멘 루, 크레망 드 부르고뉴 블랑",도멘 루 페레 에 피스 Domaine Roux Pere & Fils,wine,,750,프랑스,,스파클링 · 부르고뉴,wine21,true
"브루노베레, 크레망 드 부르고뉴",브루노 베레 Bruno Verret,wine,,750,프랑스,,스파클링 · 부르고뉴 · 97점,wine21,true
"퐁사르, 라 데에스",샴페안 퐁사르 Champagne Ponsart,wine,,750,프랑스,,스파클링 · 샹빠뉴,wine21,true
"퐁사르, 르 수 트헤",샴페안 퐁사르 Champagne Ponsart,wine,,750,프랑스,,스파클링 · 샹빠뉴,wine21,true
"톨퍼들 빈야드, 샤르도네",톨퍼들 빈야드 Tolpuddle Vineyard,wine,,750,호주,,화이트 · 태즈메이니아 · 99점,wine21,true
"에네미고, 슈냉 블랑",에네미고 Enemigo,wine,,750,아르헨티나,,화이트 · 95점,wine21,true
"도멘 위에, 르 끌로 뒤 부흐 모엘르 프르미에 트리 부브레",도멘 위에 Domaine Huet,wine,,750,프랑스,,화이트 · 부브레,wine21,true
"두글라제, 아카셰니",두글라제 와인 컴퍼니 Dugladze Wine Company,wine,,750,조지아,,레드 · 카헤티,wine21,true
"두글라제, 므츠바네",두글라제 와인 컴퍼니 Dugladze Wine Company,wine,,750,조지아,,화이트 · 카헤티,wine21,true
"라 메종 뻬네, 베르지 그랑 크뤼 뀌베 프레스티지 꼴린느 & 껑디스",라 메종 뻬네 La Maison Penet,wine,,750,프랑스,,스파클링 · 샹빠뉴 · 89.8점,wine21,true
"라 메종 뻬네, 베르즈네 그랑 크뤼 뀌베 프헤스티쥬 디안 끌레흐",라 메종 뻬네 La Maison Penet,wine,,750,프랑스,,스파클링 · 샹빠뉴 · 86점,wine21,true
"라 메종 뻬네, 베르지 그랑 크뤼 '레 제삐네뜨' 블랑 드 누아",라 메종 뻬네 La Maison Penet,wine,,750,프랑스,,스파클링 · 샹빠뉴 · 89.7점,wine21,true
